,CIE_SA,MSSA,MSSA_Inner,MSSA_Adaptive,Flexible,Dedicated,VNS_Kmedian,VNS,Kmedian1,Kmedian2,Kmedian3,Kmedian4,GA2
119,97590.92,97590.92,97590.92,100220.45,147838.0,138488.56,97590.92,97590.92,129856.64,119169.82,114491.32,129856.64,102670.1
120,189924.64,188452.83,187731.63,197418.73,331581.25,287035.76,190777.97,188452.83,219868.22,241352.15,229361.87,219868.22,203823.08
121,857354.58,792912.82,820618.17,841332.97,1544901.22,2249735.7,857270.39,857270.39,1057343.28,1141153.55,1092074.89,1057343.28,1155215.41
122,1269080.23,1281655.09,1268528.6,1281655.09,1862691.38,1610693.49,1281655.09,1281655.09,1429792.01,1499344.7,1396105.31,1429792.01,1281872.18
123,678682.13,678682.13,682856.69,779137.15,1050078.07,1158778.18,678682.13,682856.69,912128.31,959179.7,788178.02,912128.31,777828.75
124,1382316.53,1380105.54,1407202.91,1463340.22,3364948.81,2583567.12,1379724.99,1380105.54,2137936.86,1987577.59,1925674.34,2137936.86,1576164.61
125,745457.06,734660.84,670962.47,669771.64,1259052.33,2218696.48,734660.84,923207.23,901431.25,1185849.35,934940.6,901431.25,917153.05
126,1041854.31,1041854.31,1041854.31,1075886.18,1693244.57,1663628.72,1041854.31,1041854.31,1251379.1,1272601.2,1326249.01,1251379.1,1126025.57
127,571686.67,571686.67,571686.67,583193.12,842681.28,1180801.96,571686.67,571686.67,810383.91,820094.26,712229.25,810383.91,651450.08
128,1099709.72,1094798.39,1092382.13,1182778.87,2211418.22,2341816.47,1092486.2,1174606.48,1394554.32,1459337.84,1424373.37,1394554.32,1193745.81
